Variable,Bytes
ground_grid_x_bytes,392
ground_grid_y_bytes,392
ground_grid_z_bytes,392
ground_grid_all_bytes,1176
normals_unit_surface_bytes,1176
areas_surface_bytes,392
normals_unit_ground_bytes,1176
areas_ground_bytes,392
tilts_unit_bytes,392
surface_grid_x_bytes,392
surface_grid_y_bytes,392
surface_grid_z_bytes,392
surface_grid_all_bytes,1176
solar_cells_bytes,392
distance_grid_bytes,19208
separation_unit_vector_grid_bytes,57624
time_array_bytes,768
altitude_array_bytes,768
azimuth_array_bytes,768
sun_surface_grid_bytes,37632
sun_incident_bytes,37632
sun_vecs_bytes,2304
sun_positions_bytes,1536
gradient_grid_bytes,392
angle_grid_bytes,392
surface_gradient_grid_bytes,392
surface_angle_grid_bytes,392
optical_wavelengths_bytes,184
optical_intensities_bytes,17664
spectra_frames_bytes,768
complex_array_bytes,2944
t_grid_frames_bytes,37632
solar_cell_spectra_bytes,37632
solar_cell_spectra_shaded_bytes,37632
transmitted_frames_bytes,37632
absorbed_frames_bytes,37632
transmitted_int_bytes,37632
absorbed_int_bytes,37632
direct_ground_irradiance_frames_bytes,37632
direct_ground_int_bytes,37632
diffuse_ground_irradiance_frames_bytes,37632
diffuse_ground_int_bytes,37632
global_ground_irradiance_frames_bytes,37632
global_ground_int_bytes,37632
direct_photon_spectra_frames_bytes,37632
direct_photon_par_spectra_bytes,37632
direct_photon_par_bytes,37632
diffuse_photon_spectra_frames_bytes,37632
diffuse_photon_par_spectra_bytes,37632
diffuse_photon_par_bytes,37632
global_photon_spectra_frames_bytes,37632
global_photon_par_spectra_bytes,37632
global_photon_par_bytes,37632
